,alpha,beta,delta_m,eta_spin,lam,lamb,mmax,mmin,mpp,mu_chi_1,mu_chi_1_at_0,mu_chi_2,mu_chi_2_at_0,rho_chi_1,rho_chi_2,sigma_chi_1,sigma_chi_1_at_0,sigma_chi_2,sigma_chi_2_at_0,sigma_spin,sigpp,xi_spin
4177,3.7923799,1.5907607,8.205908,0.65652233,0.009483648,3.861906,92.70217,3.747261,34.623543,0.46989706,0.21165699,0.76987875,0.41697663,0.60863745,0.529799,0.55757576,0.22139595,0.23144135,0.011921372,1.3495104,5.464436,0.49669215
4178,3.50599,0.6576135,6.427844,0.7801541,0.022527436,3.7939062,87.843765,4.5480494,32.348343,0.22711739,0.1002663,0.37734216,0.044835836,-0.66470206,0.4831921,0.6063449,0.1203061,0.32493988,0.18795964,0.88762486,3.7995946,0.68297416
4179,3.1803293,-0.6997217,4.9313297,0.89272606,0.048158273,4.907962,89.89512,5.200982,35.767616,0.5587031,0.09435955,0.07515291,0.047065943,0.8495985,-0.8401964,0.7095472,0.20798571,0.10855205,0.19643502,3.1246076,2.8866496,0.20212446
4180,3.7543654,1.2340331,5.403855,0.7148978,0.021967031,3.6335096,87.72084,5.1951423,33.58682,0.2574214,0.1155906,0.5232829,0.15910971,-0.99045086,0.85205495,0.678901,0.15256274,0.32467628,0.08769037,2.6552844,4.2996373,0.8927373
4181,3.5054693,2.1836357,5.6551967,0.92340124,0.04079988,3.3390846,94.163055,5.043251,31.227829,0.8595626,0.19556305,0.8458941,0.12033154,0.83817923,0.115216255,0.4751205,0.12738398,0.8165509,0.30353123,3.8650408,4.615795,0.31280702
4182,4.0734634,2.3976912,3.4936213,0.6867289,0.027282683,3.4453773,79.997986,5.917178,31.339539,0.0546219,0.14471318,0.16041775,0.1500656,-0.8454153,-0.5231219,0.2321896,0.6028387,0.18005177,0.32283816,2.3424184,4.586231,0.80978835
4183,4.005842,1.8806164,3.953177,0.6415469,0.02089434,3.851962,85.81801,5.77829,31.177261,0.032510146,0.12434936,0.3216833,0.15882838,-0.59807754,-0.18134683,0.07364653,0.6715484,0.4279731,0.26892102,2.4732437,3.4417787,0.86512953
4184,3.6053224,5.038796,4.968388,0.9620801,0.019340206,3.0853033,94.312256,5.6558285,32.560787,0.9431213,0.2137251,0.8170146,0.016538884,-0.88965875,-0.20925069,0.71338254,0.01169054,0.12587838,0.4617945,2.7883182,3.001821,0.34058914
4185,3.7880068,1.8998747,3.7219727,0.6622851,0.032387123,3.2767277,88.548836,5.624774,32.88275,0.08950039,0.18234545,0.1532524,0.10237436,0.79338944,0.6052345,0.17292066,0.2813858,0.068251655,0.043343868,2.2619507,6.7666087,0.8161136
4186,3.3506808,1.2940803,4.7594895,0.76982784,0.036383554,2.8858967,74.51113,5.0190625,35.241024,0.5568359,0.2762307,0.49359387,0.06409556,-0.98339546,0.28361,0.40495262,0.4941845,0.23965305,0.48186773,0.99779797,3.056509,0.34886557
