Unnamed: 0,alpha,beta,delta_m,eta_spin,lam,lamb,mmax,mmin,mpp,mu_chi_1,mu_chi_1_at_0,mu_chi_2,mu_chi_2_at_0,rho_chi_1,rho_chi_2,sigma_chi_1,sigma_chi_1_at_0,sigma_chi_2,sigma_chi_2_at_0,sigma_spin,sigpp,xi_spin,rho_chi_1_true,rho_chi_2_true
4986,3.2820606,-0.65809345,2.1461868,0.61059284,0.04795694,4.6037807,79.77939,5.824623,33.792454,0.7788333,0.07044475,0.7721837,0.0043375194,-0.63672906,0.9991877,0.35486823,0.54277104,0.42990953,0.017397083,2.529606,3.3317933,0.73114014,-0.18830164677559916,0.9976748721450721
4987,3.9389858,0.86609983,4.767217,0.86018944,0.016260657,5.3243275,73.44941,5.193228,36.18824,0.53562903,0.1765595,0.64359313,0.071965605,-0.92465514,0.9997144,0.54836744,0.55361027,0.27274618,0.8886356,2.287047,4.2431974,0.7765262,-0.3315211315602401,0.9988477492695774
4988,4.82485,1.8010714,4.2993526,0.7747811,0.020747885,5.591607,88.24567,5.717417,31.577448,0.86487645,0.17717455,0.84261847,0.09996908,-0.9515704,0.9974272,0.9103829,0.45916778,0.57456887,0.3093328,1.5778307,5.5521407,0.7496995,-0.520251280892917,0.9741202508115706
4989,4.0778904,1.4532263,3.8804655,0.77597994,0.022565022,5.0734596,88.44287,5.2494555,33.18548,0.21792002,0.08582036,0.32783392,0.048657086,-0.6474885,-0.7240326,0.44415134,0.35401872,0.6249299,0.07324314,1.0074809,3.1921756,0.79383886,-0.26472137894592146,-0.2781565537219825
4990,3.4868445,0.5122278,3.2546558,0.69657654,0.064382754,2.789092,85.583626,5.2522163,32.3979,0.02256279,0.23388924,0.3524822,0.017985402,-0.08445281,-0.18641317,0.25249046,0.27470687,0.35792592,0.05978829,1.7263178,5.976665,0.43204978,-0.04061315198854162,-0.07784964361958549
4991,3.7313933,2.730484,2.8865597,0.6072345,0.036391634,3.605956,74.18907,5.6107426,34.32479,0.45485798,0.12620015,0.17560741,0.040135086,-0.936236,0.58274496,0.11385273,0.22193883,0.46914598,0.3553947,1.5381479,2.963665,0.35775587,-0.45357270215313755,0.365592321766955
4992,3.4083796,-0.61482525,5.1469665,0.68084335,0.037949704,3.87041,95.148834,4.3065624,34.37139,0.10441919,0.17954956,0.35391197,0.23777425,0.0054055452,-0.4117216,0.8951134,0.054651756,0.4592948,0.03668863,3.5468018,3.686177,0.7352251,0.005389452617070848,-0.08525517133590445
4993,3.407076,-0.52870786,6.6707325,0.7127373,0.032763045,4.0036116,90.71879,4.36637,34.035942,0.078203775,0.18286206,0.16409978,0.20727573,-0.4397307,-0.13794279,0.9138822,0.031270716,0.2338559,0.019904625,3.6171224,3.038195,0.8393435,-0.4397306844679901,-0.03097779022985295
4994,3.4542966,-0.4279189,4.9780188,0.852029,0.043215077,4.393963,92.310715,5.092969,34.009968,0.2717739,0.26652512,0.19424818,0.1611138,-0.6128403,0.18961656,0.9080339,0.022282837,0.56911933,0.15130103,3.164899,3.62823,0.94203746,-0.5298238764042438,0.028925506821369854
4995,3.4580736,0.66032505,7.2021265,0.80642974,0.025633011,3.0387115,77.95132,4.44396,34.72384,0.21754639,0.22951128,0.5417447,0.07128622,0.2399385,-0.08245152,0.84494287,0.016613359,0.70145464,0.033908732,2.8079748,3.5390975,0.8628572,0.2288033445658115,-0.010973853709847638
