event,lnBayes
GW150914,0.13373849
GW150914,0.09571652
GW150914,0.08546824
GW150914,0.03708558
GW150914,0.33182386
GW150914,0.07541137
GW150914,0.022748927
GW150914,0.018520406
GW150914,0.96728134
GW150914,0.09286352
GW150914,0.13690656
GW150914,0.6790161
GW150914,0.7801223
GW150914,0.13264368
GW150914,0.3554224
GW150914,0.10049005
GW150914,0.07182589
GW150914,0.033222083
GW150914,0.025793942
GW150914,0.16107988
GW150914,0.061805245
GW150914,0.81525993
GW150914,0.044557076
GW150914,0.05840155
GW150914,0.5981278
GW150914,0.023426542
GW150914,0.051273853
GW150914,0.092411935
GW150914,0.043969847
GW150914,0.012013934
GW150914,0.2491955
GW150914,0.071069725
GW150914,0.15024139
GW150914,0.34176445
GW150914,0.29080862
GW150914,0.06367587
GW150914,0.030783564
GW150914,0.046851147
GW150914,0.6335506
GW150914,1.5726833
GW150914,0.009986792
GW150914,0.011227642
GW150914,0.035585184
GW150914,0.020960603
GW150914,0.02481516
GW150914,0.014356537
GW150914,0.032797407
GW150914,0.08840708
GW150914,0.0747161
GW150914,0.09373713
GW150914,0.03682847
GW150914,0.010011221
GW150914,0.020010388
GW150914,0.05267718
GW150914,1.4589195
GW150914,0.02803567
GW150914,0.04250477
GW150914,0.06784105
GW150914,0.118042514
GW150914,0.20519212
GW150914,0.03406813
GW150914,0.03351194
GW150914,0.6447516
GW150914,0.83132267
GW150914,0.68323994
GW150914,0.021881117
GW150914,0.46011877
GW150914,0.23607928
GW150914,0.2508803
GW150914,0.10589837
GW150914,0.05285935
GW150914,0.0310264
GW150914,0.11568785
GW150914,0.17150828
GW150914,0.111899935
GW150914,0.19045731
GW150914,0.15258229
GW150914,0.015102917
GW150914,0.12592943
GW150914,0.16101697
GW150914,0.15756181
GW150914,0.11851223
GW150914,0.12765071
GW150914,0.2932272
GW150914,0.15271144
GW150914,0.25308746
GW150914,0.08919628
GW150914,0.073677555
GW150914,0.1250853
GW150914,0.135366
GW150914,0.17169896
GW150914,0.070259206
GW150914,0.04429287
GW150914,0.32338575
GW150914,0.072149694
GW150914,0.19849779
GW150914,0.095475666
GW150914,0.061149117
GW150914,0.6781254
GW150914,0.304583
GW150914,0.3307638
GW150914,0.3646378
GW150914,0.28755906
GW150914,0.1953993
GW150914,0.34315208
GW150914,0.43355706
GW150914,0.13582806
GW150914,0.04491718
GW150914,0.3075118
GW150914,0.15825655
GW150914,0.10578586
GW150914,0.18869117
GW150914,0.08597101
GW150914,0.28711796
GW150914,0.08098611
GW150914,0.18760201
GW150914,0.049028285
GW150914,0.10052823
GW150914,0.4661569
GW150914,0.07839101
GW150914,0.013204156
GW150914,1.2679892
GW150914,0.014200705
GW150914,0.011554227
GW150914,0.012464009
GW150914,0.010199566
GW150914,0.046211537
GW150914,0.02678337
GW150914,0.49987692
GW150914,0.0584273
GW150914,0.014641929
GW150914,0.28945062
GW150914,0.06374544
GW150914,0.24622545
GW150914,0.5997566
GW150914,0.015811898
GW150914,0.012661076
GW150914,0.010939152
GW150914,0.01567507
GW150914,0.010210543
GW150914,0.044949546
GW150914,0.07904871
GW150914,0.07997606
GW150914,0.23118399
GW150914,0.08479307
GW150914,0.17794111
GW150914,0.052181713
GW150914,0.12682578
GW150914,0.2523852
GW150914,0.13759713
GW150914,0.040977467
GW150914,0.040294133
GW150914,0.26606515
GW150914,0.036594857
GW150914,0.014426688
GW150914,0.027029036
GW150914,0.034708068
GW150914,0.03496227
GW150914,0.066722974
GW150914,0.023446104
GW150914,0.12593848
GW150914,0.12747768
