event,lnBayes
GW150914,2.1068718
GW150914,0.91552114
GW150914,1.8081337
GW150914,0.5952268
GW150914,1.291503
GW150914,-0.09717183
GW150914,0.4051311
GW150914,1.4114351
GW150914,0.3929657
GW150914,1.1489795
GW150914,0.57654905
GW150914,1.7347469
GW150914,0.35173306
GW150914,1.151587
GW150914,0.6409456
GW150914,0.4425983
GW150914,0.75084984
GW150914,0.96522796
GW150914,1.8288724
GW150914,0.6045581
GW150914,0.47515732
GW150914,1.4955438
GW150914,0.72248095
GW150914,1.0604303
GW150914,0.85776013
GW150914,1.8187218
GW150914,0.08209957
GW150914,0.9327122
GW150914,1.2630957
GW150914,0.7831133
GW150914,0.50856686
GW150914,1.2294359
GW150914,1.0981467
GW150914,1.6952934
GW150914,1.4329196
GW150914,0.88805217
GW150914,1.1753922
GW150914,1.2002423
GW150914,0.8767827
GW150914,0.71720386
GW150914,0.8649571
GW150914,0.034564126
GW150914,0.72571695
GW150914,1.0053209
GW150914,1.3485506
GW150914,1.5500362
GW150914,0.9732758
GW150914,1.4313703
GW150914,0.7970858
GW150914,0.595322
GW150914,1.2000389
GW150914,0.88808715
GW150914,1.788773
GW150914,1.572794
GW150914,0.6336768
GW150914,1.1597514
GW150914,0.7884499
GW150914,0.19541596
GW150914,0.096552454
GW150914,1.7333877
GW150914,1.0515783
GW150914,0.953124
GW150914,0.8590736
GW150914,0.8924483
GW150914,0.78654397
GW150914,0.17848994
GW150914,-0.030710042
GW150914,0.6201972
GW150914,1.8970038
GW150914,3.619262
GW150914,6.0017056
GW150914,0.025590504
GW150914,2.2911956
GW150914,1.7130009
GW150914,-0.09677299
GW150914,0.76578224
GW150914,1.7394542
GW150914,0.2660901
GW150914,0.5799661
GW150914,3.0305748
GW150914,0.2569806
GW150914,0.45070636
GW150914,0.58901834
GW150914,0.5847007
GW150914,1.8413125
GW150914,0.20264685
GW150914,0.20264685
GW150914,1.271589
GW150914,1.0699527
GW150914,1.6331612
GW150914,-0.074706934
GW150914,0.7397644
GW150914,1.1213307
GW150914,1.1426986
GW150914,0.62559086
GW150914,1.2174793
GW150914,1.4474791
GW150914,0.5841519
GW150914,0.48637974
GW150914,1.0230427
GW150914,0.58731866
GW150914,2.8200066
GW150914,4.246502
GW150914,-0.31446034
GW150914,0.17850767
GW150914,1.7408218
GW150914,1.2152331
GW150914,0.5481635
GW150914,1.8168654
GW150914,-0.027733373
GW150914,-0.53191346
GW150914,0.42059565
GW150914,0.42598504
GW150914,3.211734
GW150914,0.24439488
GW150914,0.20872557
GW150914,1.0875249
GW150914,0.06261627
GW150914,1.1399734
GW150914,0.0895048
GW150914,-0.008454197
GW150914,2.5043898
GW150914,2.4928956
GW150914,-0.013744381
GW150914,1.3737491
GW150914,0.4721845
GW150914,1.4623487
GW150914,0.79528797
GW150914,0.34291792
GW150914,1.8495555
GW150914,1.03145
GW150914,0.08743869
GW150914,1.1984452
GW150914,0.530187
GW150914,0.5108268
GW150914,-0.009006946
GW150914,1.1591995
GW150914,1.1591995
GW150914,1.2362705
GW150914,0.4551778
GW150914,0.1337859
GW150914,1.5882034
GW150914,1.46598
GW150914,1.3696035
GW150914,1.1856105
GW150914,-0.0843398
GW150914,0.3320257
GW150914,1.3486588
GW150914,1.4236606
GW150914,0.56059337
GW150914,0.30141565
GW150914,0.50190675
GW150914,0.9193034
GW150914,0.8026266
GW150914,1.6880791
GW150914,0.7753526
GW150914,0.57470924
GW150914,0.57470924
GW150914,1.4847921
GW150914,2.4858158
GW150914,-0.028934708
GW150914,-0.56429344
GW150914,0.049761485
GW150914,4.212133
GW150914,0.36969906
GW150914,1.7230085
GW150914,0.99472845
GW150914,0.23877205
GW150914,1.2166581
GW150914,0.28691256
GW150914,2.2751873
GW150914,0.1980812
GW150914,1.085841
GW150914,0.6868269
GW150914,1.2134808
GW150914,0.44533253
GW150914,0.35860875
GW150914,1.4088733
GW150914,2.0349398
GW150914,1.9943388
GW150914,2.251094
GW150914,0.2273259
GW150914,1.0650008
GW150914,1.4418496
GW150914,2.6232314
GW150914,2.1869583
GW150914,0.3200329
GW150914,1.9352012
GW150914,-0.38608286
GW150914,-0.08442975
GW150914,-0.021615647
GW150914,0.6300833
GW150914,0.2237479
GW150914,0.90297616
GW150914,1.1131433
GW150914,0.3606883
GW150914,2.039113
GW150914,-0.12428204
GW150914,0.15542677
GW150914,1.4583846
GW150914,0.54362416
GW150914,2.0074801
GW150914,0.5388912
GW150914,1.2030599
GW150914,1.1728134
GW150914,0.9517498
GW150914,0.24062724
GW150914,2.9621027
GW150914,0.022244234
GW150914,3.1903954
GW150914,2.1587625
GW150914,0.34472758
GW150914,0.5783372
GW150914,0.062121216
GW150914,1.3837385
GW150914,1.0616829
GW150914,0.8493167
GW150914,2.6660218
GW150914,2.0187566
GW150914,1.7959918
GW150914,0.4876499
GW150914,-0.11191744
GW150914,-0.118463136
GW150914,0.42418468
GW150914,0.3439522
GW150914,0.7202433
GW150914,0.60130715
GW150914,0.044139817
GW150914,0.38271564
GW150914,1.1173075
GW150914,0.55821127
GW150914,0.26553136
GW150914,1.2143649
GW150914,-0.60494953
GW150914,2.5420332
GW150914,2.5332992
GW150914,1.5819721
GW150914,0.9292338
GW150914,0.35064474
GW150914,-0.010292146
